Lottery Number,Project Name,PHN,Street Name,Boro,NC/Pres,Oversight Agency,Unit Size,Rent,Number of Units,Eligible Household Size,income_min1,income_max1,hh_size2,income_min2,income_max2,hh_size3,income_min3,income_max3,hh_size4,income_min4,income_max4,hh_size5,income_min5,income_max5,hh_size6,income_min6,income_max6,Total Application Count,OPEN APPLICATION PERIOD START,open_year,Project Close,Open Market units
82,Rufus King Apartments,148-15,90 AVE,4,New Construction,HPD,0,659,1,1,24515,30100,,,,,,,,,,,,,,,,32312,1/6/14,2014,NA,
82,Rufus King Apartments,148-15,90 AVE,4,New Construction,HPD,0,802,3,1,29418,36120,,,,,,,,,,,,,,,,32312,1/6/14,2014,NA,
82,Rufus King Apartments,148-15,90 AVE,4,New Construction,HPD,1,709,2,1,26298,30100,2,26298,34400,,,,,,,,,,,,,32312,1/6/14,2014,NA,
82,Rufus King Apartments,148-15,90 AVE,4,New Construction,HPD,1,863,12,1,31578,36120,2,31578,41280,,,,,,,,,,,,,32312,1/6/14,2014,NA,
82,Rufus King Apartments,148-15,90 AVE,4,New Construction,HPD,2,1044,23,2,37852,41280,3,37852,46440,4,37852,51540,,,,,,,,,,32312,1/6/14,2014,NA,
82,Rufus King Apartments,148-15,90 AVE,4,New Construction,HPD,3,1199,5,3,43749,46440,4,43749,51540,5,43749,55680,6,43749,59820,,,,,,,32312,1/6/14,2014,NA,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,0,500,1,1,19406,29400,,,,,,,,,,,,,,,,38256,1/24/14,2014,2/19/15,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,0,1012,3,1,36960,52920,,,,,,,,,,,,,,,,38256,1/24/14,2014,2/19/15,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,0,1250,3,1,45120,94080,,,,,,,,,,,,,,,,38256,1/24/14,2014,2/19/15,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,1,516,3,1,20023,23520,2,20023,26880,,,,,,,,,,,,,38256,1/24/14,2014,2/19/15,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,1,640,11,1,24275,29400,2,24275,33600,,,,,,,,,,,,,38256,1/24/14,2014,2/19/15,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,1,1294,28,1,46698,52920,2,46698,60480,,,,,,,,,,,,,38256,1/24/14,2014,2/19/15,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,1,1450,30,1,52046,107520,2,52046,107520,,,,,,,,,,,,,38256,1/24/14,2014,2/19/15,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,2,774,5,2,28938,33600,3,28938,37800,4,28938,41950,,,,,,,,,,38256,1/24/14,2014,2/19/15,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,2,1565,6,2,56058,60480,3,56058,68040,4,56058,75510,,,,,,,,,,38256,1/24/14,2014,2/19/15,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,2,1700,10,1,60686,107520,2,60686,120960,3,60686,134240,4,60686,134240,,,,,,,38256,1/24/14,2014,2/19/15,
84,2017 Morris Avenue,2017,MORRIS AVENUE,2,New Construction,HPD,1,851,4,1,30892,35280,2,30892,40320,,,,,,,,,,,,,32312,1/30/14,2014,NA,
84,2017 Morris Avenue,2017,MORRIS AVENUE,2,New Construction,HPD,2,1032,6,2,37166,40320,3,37166,45360,4,37166,50340,,,,,,,,,,32312,1/30/14,2014,NA,
84,2017 Morris Avenue,2017,MORRIS AVENUE,2,New Construction,HPD,3,1186,9,3,42789,45360,4,42789,50340,5,42789,54520,6,42789,58440,,,,,,,32312,1/30/14,2014,NA,
85,Morris Court Apartments,253,EAST 142 STREET,2,New Construction,HDC,0,785,24,1,28595,35280,,,,,,,,,,,,,,,,34532,2/5/14,2014,8/26/15,
85,Morris Court Apartments,253,EAST 142 STREET,2,New Construction,HDC,0,939,1,1,33875,58800,,,,,,,,,,,,,,,,34532,2/5/14,2014,8/26/15,
85,Morris Court Apartments,253,EAST 142 STREET,2,New Construction,HDC,1,844,49,1,30652,35280,2,30652,40320,,,,,,,,,,,,,34532,2/5/14,2014,8/26/15,
85,Morris Court Apartments,253,EAST 142 STREET,2,New Construction,HDC,1,1187,5,1,42412,67200,2,42412,67200,,,,,,,,,,,,,34532,2/5/14,2014,8/26/15,
85,Morris Court Apartments,253,EAST 142 STREET,2,New Construction,HDC,2,1022,59,2,36823,40320,3,36823,45360,4,36823,50340,,,,,,,,,,34532,2/5/14,2014,8/26/15,
85,Morris Court Apartments,253,EAST 142 STREET,2,New Construction,HDC,2,1400,11,1,49783,58800,2,49783,67200,3,49783,75600,4,49783,75600,,,,,,,34532,2/5/14,2014,8/26/15,
85,Morris Court Apartments,253,EAST 142 STREET,2,New Construction,HDC,3,1175,6,3,42412,45360,4,42412,50340,5,42412,54420,6,42412,58440,,,,,,,34532,2/5/14,2014,8/26/15,
85,Morris Court Apartments,253,EAST 142 STREET,2,New Construction,HDC,3,1649,3,2,58663,67200,3,58663,75600,4,58663,83900,5,58663,90700,6,58663,90700,,,,34532,2/5/14,2014,8/26/15,
86,The Roosevelt,40-07,73 STREET,4,New Construction,HPD,1,860,1,1,29486,41280,2,29486,41280,,,,,,,,,,,,,18631,2/4/14,2014,9/8/14,
86,The Roosevelt,40-07,73 STREET,4,New Construction,HPD,2,1146,1,2,39292,51540,3,39292,51540,4,39292,51540,,,,,,,,,,18631,2/4/14,2014,9/8/14,
86,The Roosevelt,40-07,73 STREET,4,New Construction,HPD,2,1161,1,2,39806,51540,3,39806,51540,4,39806,51540,,,,,,,,,,18631,2/4/14,2014,9/8/14,
86,The Roosevelt,40-07,73 STREET,4,New Construction,HPD,2,1171,3,2,40149,51540,3,40149,51540,4,40149,51540,,,,,,,,,,18631,2/4/14,2014,9/8/14,
88,Utica Place Residential,1339,LINCOLN PLACE,3,New Construction,HDC,0,494,18,1,18618,23520,,,,,,,,,,,,,,,,38282,3/14/14,2014,12/24/14,
88,Utica Place Residential,1339,LINCOLN PLACE,3,New Construction,HDC,0,785,5,1,28595,35280,,,,,,,,,,,,,,,,38282,3/14/14,2014,12/24/14,
88,Utica Place Residential,1339,LINCOLN PLACE,3,New Construction,HDC,1,844,25,1,30652,35280,2,30652,40320,,,,,,,,,,,,,38282,3/14/14,2014,12/24/14,
88,Utica Place Residential,1339,LINCOLN PLACE,3,New Construction,HDC,2,1022,23,2,36823,40320,3,36823,45360,4,36823,50340,,,,,,,,,,38282,3/14/14,2014,12/24/14,
88,Utica Place Residential,1339,LINCOLN PLACE,3,New Construction,HDC,3,1175,7,3,42412,45360,4,42412,50340,5,42412,54420,6,42412,58440,,,,,,,38282,3/14/14,2014,12/24/14,
89,Harlem West 117,24,WEST 117 STREET,1,New Construction,HPD,0,491,9,1,19637,23520,,,,,,,,,,,,,,,,56692,3/6/14,2014,NA,
89,Harlem West 117,24,WEST 117 STREET,1,New Construction,HPD,0,635,3,1,24873,29400,,,,,,,,,,,,,,,,56692,3/6/14,2014,NA,
89,Harlem West 117,24,WEST 117 STREET,1,New Construction,HPD,1,528,7,1,21019,23520,2,21019,26880,,,,,,,,,,,,,56692,3/6/14,2014,NA,
89,Harlem West 117,24,WEST 117 STREET,1,New Construction,HPD,1,682,3,1,26619,29400,2,26619,33600,,,,,,,,,,,,,56692,3/6/14,2014,NA,
89,Harlem West 117,24,WEST 117 STREET,1,New Construction,HPD,1,835,26,1,32182,35280,2,32182,40320,,,,,,,,,,,,,56692,3/6/14,2014,NA,
89,Harlem West 117,24,WEST 117 STREET,1,New Construction,HPD,2,643,2,2,25273,26880,3,25273,30240,4,25273,33560,,,,,,,,,,56692,3/6/14,2014,NA,
89,Harlem West 117,24,WEST 117 STREET,1,New Construction,HPD,2,1011,41,2,38655,40320,3,38655,45360,4,38655,50340,,,,,,,,,,56692,3/6/14,2014,NA,
89,Harlem West 117,24,WEST 117 STREET,1,New Construction,HPD,3,950,1,4,36800,41950,5,36800,45350,6,36800,48700,,,,,,,,,,56692,3/6/14,2014,NA,
89,Harlem West 117,24,WEST 117 STREET,1,New Construction,HPD,3,1163,7,4,44546,50340,5,44546,54420,6,44546,58440,,,,,,,,,,56692,3/6/14,2014,NA,
90,Knickerbocker Commons,803,KNICKERBOCKER AVENUE,3,New Construction,HPD,1,689,1,1,25338,29400,2,25338,33600,,,,,,,,,,,,,23493,3/12/14,2014,NA,
90,Knickerbocker Commons,803,KNICKERBOCKER AVENUE,3,New Construction,HPD,1,844,2,1,30652,35280,2,30652,40320,,,,,,,,,,,,,23493,3/12/14,2014,NA,
90,Knickerbocker Commons,803,KNICKERBOCKER AVENUE,3,New Construction,HPD,2,835,4,2,30412,33600,3,30412,37800,4,30412,41950,,,,,,,,,,23493,3/12/14,2014,NA,
90,Knickerbocker Commons,803,KNICKERBOCKER AVENUE,3,New Construction,HPD,2,1022,7,2,36823,40320,3,36823,45360,4,36823,50340,,,,,,,,,,23493,3/12/14,2014,NA,
90,Knickerbocker Commons,803,KNICKERBOCKER AVENUE,3,New Construction,HPD,3,1175,3,4,42412,50340,5,42412,54420,6,42412,58440,,,,,,,,,,23493,3/12/14,2014,NA,
91,Crossroads Plaza III,535,UNION AVENUE,2,New Construction,HDC,0,494,1,1,18618,23520,,,,,,,,,,,,,,,,42909,3/14/14,2014,3/21/16,
